,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
78,Paraguay,807453,0,19849,0.0,0,0,0,7,110522,2717,2657506,363751,7305843,South America,2023-02-22
79,Bahrain,705444,309,1548,0.0,701697,316,2199,1,395432,868,10725689,6012215,1783983,Asia,2023-02-22
80,Sri Lanka,672024,1,16829,0.0,655192,1,3,0,31147,780,6486117,300619,21575842,Asia,2023-02-22
81,Kuwait,662858,0,2570,0.0,660237,0,51,0,151326,587,8455743,1930391,4380326,Asia,2023-02-22
82,Dominican Republic,660533,41,4384,0.0,644785,0,11364,4,59742,397,3740928,338350,11056370,North America,2023-02-22
83,Cyprus,647031,0,1297,0.0,641366,0,4368,60,528885,1060,9640118,7879860,1223387,Asia,2023-02-22
84,Myanmar,633903,2,19490,0.0,614374,4,39,0,11478,353,10027516,181569,55227143,Asia,2023-02-22
85,Palestine,621008,0,5404,0.0,615445,0,159,17,116173,1011,3078533,575907,5345541,Asia,2023-02-22
86,Estonia,614848,0,2934,0.0,524990,0,86924,1,465121,2220,3671717,2777585,1321910,Europe,2023-02-22
87,Moldova,603750,0,11974,0.0,504142,0,87634,49,150442,2984,3216305,801437,4013171,Europe,2023-02-22
88,Venezuela,551950,10,5852,0.0,545687,32,411,36,18859,200,3359014,114771,29266991,South America,2023-02-22
89,Egypt,515698,0,24613,0.0,442182,0,48903,122,4858,232,3693367,34792,106156692,Africa,2023-02-22
90,Libya,507171,0,6437,0.0,500733,0,1,0,72034,914,2483538,352738,7040745,Africa,2023-02-22
91,Ethiopia,499903,13,7572,0.0,487185,15,5146,0,4138,63,5483106,45385,120812698,Africa,2023-02-22
92,Qatar,493639,79,686,0.0,492638,38,315,22,165655,230,4065369,1364257,2979915,Asia,2023-02-22
93,Réunion,486588,0,921,0.0,418572,0,67095,10,535854,1014,1603660,1766027,908061,Africa,2023-02-22
