,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
118,Trinidad and Tobago,"188,737",,"4,339",,"184,363",,35,8,"134,181","3,085","895,520","636,663","1,406,585",North America
119,Maldives,"185,729",,311,,"163,687",,"21,731",25,"343,316",575,"2,213,831","4,092,223","540,985",Asia
120,Ghana,"171,167",,"1,462",,"169,696",,9,2,"5,284",45,"2,529,887","78,094","32,395,450",Africa
121,Namibia,"171,121",,"4,090",,"166,689",,342,,"64,969","1,553","1,062,663","403,460","2,633,874",Africa
122,Uganda,"170,478",,"3,630",,"100,431",,"66,417",3,"3,520",75,"3,012,408","62,198","48,432,863",Africa
123,Jamaica,"154,065",,"3,500",,"102,393",,"48,172",,"51,611","1,172","1,183,986","396,633","2,985,094",North America
124,Cambodia,"138,713",,"3,056",,"135,649",+1,8,,"8,079",178,"3,091,420","180,062","17,168,639",Asia
125,Rwanda,"133,170",,"1,468",,"131,634",,68,,"9,792",108,"5,959,042","438,150","13,600,464",Africa
126,Cameroon,"124,328",,"1,965",,"122,333",,30,13,"4,454",70,"1,751,774","62,762","27,911,548",Africa
127,Malta,"117,338",,827,,"115,923",,588,4,"264,255","1,862","2,111,209","4,754,622","444,033",Europe
128,Barbados,"106,645",,575,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023",North America
129,Angola,"105,205",,"1,931",,"103,250",,24,,"3,004",55,"1,499,795","42,818","35,027,343",Africa
130,Channel Islands,"101,320",,227,,"100,975",,118,,"574,171","1,286","1,252,808","7,099,551","176,463",Europe
131,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America
132,DRC,"95,646",,"1,464",,"84,282",,"9,900",,"1,004",15,"846,704","8,890","95,240,792",Africa
133,Senegal,"88,917",,"1,971",,"86,938",,8,,"5,037",112,"1,146,543","64,946","17,653,671",Africa
134,Malawi,"88,681",,"2,686",,"85,542",,453,67,"4,394",133,"624,784","30,959","20,180,839",Africa
135,Ivory Coast,"88,138",,834,,"87,262",,42,,"3,177",30,"1,677,538","60,469","27,742,298",Africa
136,Suriname,"82,227",,"1,400",,N/A,N/A,N/A,,"137,773","2,346","240,907","403,644","596,831",South America
137,New Caledonia,"79,871",,314,,"79,557",,0,9,"274,551","1,079","98,964","340,182","290,915",Australia/Oceania
138,French Polynesia,"77,957",,649,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164",Australia/Oceania
139,Eswatini,"74,199",,"1,423",,"72,726",,50,,"62,625","1,201","1,048,704","885,119","1,184,817",Africa
140,Guyana,"73,062",,"1,298",,"71,742",,22,,"92,012","1,635","720,953","907,950","794,045",South America
141,Belize,"70,740",,688,,"70,036",,16,6,"171,620","1,669","576,016","1,397,453","412,190",North America
142,Fiji,"68,876",,883,,"66,831",,"1,162",,"75,732",971,"668,445","734,986","909,466",Australia/Oceania
143,Madagascar,"67,852",,"1,421",,"66,427",,4,,"2,325",49,"525,141","17,998","29,178,077",Africa
144,Sudan,"63,787",,"5,011",,"58,438",,338,,"1,387",109,"562,941","12,240","45,992,020",Africa
145,Mauritania,"63,667",,997,,"62,439",,231,,"12,988",203,"1,009,957","206,030","4,901,981",Africa
146,Cabo Verde,"63,240",,413,,"62,770",+2,57,23,"111,401",728,"401,622","707,482","567,678",Africa
147,Bhutan,"62,615",,21,,"61,564",,"1,030",,"79,467",27,"2,303,734","2,923,739","787,941",Asia
148,Syria,"57,463",,"3,164",,"54,299",,0,,"2,967",163,"146,269","7,553","19,364,809",Asia
149,Burundi,"53,609",,38,,"53,569",,2,,"4,246",3,"345,742","27,386","12,624,840",Africa
150,Seychelles,"50,665",,172,,"50,440",,53,,"509,575","1,730",,,"99,426",Africa
151,Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533",Africa
152,Andorra,"47,866",,165,,"47,563",,138,14,"617,921","2,130","249,838","3,225,256","77,463",Europe
153,Papua New Guinea,"46,792",,670,,"43,982",,"2,140",7,"5,036",72,"249,149","26,813","9,292,169",Australia/Oceania
154,Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America
155,Aruba,"44,026",,236,,"42,438",,"1,352",2,"409,129","2,193","177,885","1,653,068","107,609",North America
156,Tanzania,"42,823",,846,,N/A,N/A,N/A,7,677,13,,,"63,298,550",Africa
157,Mayotte,"42,004",,188,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259",Africa
158,Mauritius,"41,698",,"1,043",,"39,991",,664,,"32,711",818,"358,675","281,374","1,274,727",Africa
159,Togo,"39,367",,290,,"39,072",,5,,"4,535",33,"807,880","93,065","8,680,837",Africa
160,Guinea,"38,267",,467,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691",Africa
161,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732",Europe
162,Bahamas,"37,491",,833,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516",North America
163,Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699",Africa
164,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233",Europe
165,Haiti,"34,143",,860,,"33,044",,239,,"2,923",74,"132,422","11,337","11,680,283",North America
166,Mali,"32,977",+14,743,,"32,046",+14,188,,"1,536",35,"794,481","36,998","21,473,764",Africa
167,Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277",North America
168,Saint Lucia,"29,882",,409,,"29,095",,378,,"161,426","2,209","210,983","1,139,752","185,113",North America
169,Benin,"27,990",,163,,"27,825",,2,,"2,189",13,"604,310","47,268","12,784,726",Africa
170,Somalia,"27,324",,"1,361",,"13,182",,"12,781",,"1,622",81,"400,466","23,778","16,841,795",Africa
171,Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805",Africa
172,Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159",Australia/Oceania
173,Micronesia,"23,671",,60,,N/A,N/A,N/A,1,"201,474",511,"54,967","467,848","117,489",Australia/Oceania
174,San Marino,"23,536",,122,,"23,276",,138,4,"690,509","3,579","157,634","4,624,732","34,085",Europe
175,Timor-Leste,"23,418",,138,,"23,102",,178,,"17,101",101,"278,529","203,391","1,369,429",Asia
176,Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838",Africa
177,Liechtenstein,"21,395",+2,89,,"21,281",+1,25,,"557,350","2,318","112,457","2,929,559","38,387",Europe
178,Gibraltar,"20,420",,111,,"16,579",,"3,730",,"605,863","3,293","534,283","15,852,213","33,704",Europe
179,Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475",North America
180,Bermuda,"18,799",,160,,"18,632",,7,,"303,508","2,583","1,027,337","16,586,270","61,939",North America
181,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100",North America
182,South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511",Africa
183,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464",Asia
184,Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662",Africa
185,Tonga,"16,801",,13,,"15,638",,"1,150",,"155,927",121,"535,009","4,965,327","107,749",Australia/Oceania
186,Samoa,"16,607",,29,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239",Australia/Oceania
187,Monaco,"16,106",,67,,"15,992",,47,4,"404,846","1,684","78,646","1,976,875","39,783",Europe
188,Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344",North America
189,Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa
190,Marshall Islands,"15,598",,17,,"15,528",,53,,"259,720",283,,,"60,057",Australia/Oceania
191,CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa
192,Gambia,"12,586",,372,,"12,189",,25,,"4,919",145,"155,686","60,851","2,558,482",Africa
